Дата,Валюта,Курс к доллару
2023-11-01,EUR,0.944745
2023-11-01,RUB,92.610099
2023-11-04,EUR,0.93145
2023-11-04,RUB,91.731038
2023-11-06,EUR,0.93285
2023-11-06,RUB,92.65501
2023-11-08,EUR,0.93371
2023-11-08,RUB,91.850112
2023-11-11,EUR,0.933304
2023-11-11,RUB,92.180373
2023-11-13,EUR,0.934485
2023-11-13,RUB,91.915004
2023-11-16,EUR,0.921385
2023-11-16,RUB,89.350127
2023-11-18,EUR,0.91605
2023-11-18,RUB,89.350373
2023-11-21,EUR,0.91605
2023-11-21,RUB,88.245023
2023-11-24,EUR,0.913304
2023-11-24,RUB,89.280373
2023-11-26,EUR,0.914075
2023-11-26,RUB,89.280017
2023-11-28,EUR,0.908702
2023-11-28,RUB,88.879937
